id,object_a,object_b,sentence,most_frequent_label
E655177473,PostgreSQL,MySQL,EnterpriseDB claims PostgreSQL is superior in procedural language support to MySQL.,better
A111719660,Samsung,Nokia,A 15% of the sales of Samsung is better than the full commitment of Nokia.,better
Q2712061513,Sigma,Nikon,"The Sigma will probably be BETTER than most wide angle primes, like a 28mm f2.8 Nikon.",better
N2144184413,steel,aluminum,"Sean's answer was ""steel is harder than aluminum.""",better
L1918907342,Java,Groovy,On the other hand Java is WAY WAY faster than Groovy.,better
T3222510619,OpenGL,Direct3D,"Yeah, there's a lot of idiots here who still think OpenGL is better than Direct3D.",worse
O2431324027,Coca-Cola,Pepsi,The Center of Environmental Health's recent testing found that Coca-Cola did a much better job of cleaning up their act than Pepsi.,better
E723019506,steak,bread,"First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",worse
G981429168,Ford,Nissan,"However, the Ford seems more solid than the Titan, and the feedback from the steering was judged to be more informative than in the Nissan.",better
J1444890013,softball,baseball,"It's easier in softball to place the ball than in baseball, but that's another discussion altogether.",better
F824562036,Google,Microsoft,"Google is the main player now, Microsoft are just plain inferior in Mobile.",better
D393417540,JavaScript,Perl,But I'm not convinced it works in JavaScript any better than it works in Perl.,worse
A92433937,Microsoft,Google,5 Reasons Microsoft SkyDrive is Better Than Google Drive,better
L1813327704,Nokia,Samsung,Nokia is talking big but all the leaks suggest a inferior phone compared to the Samsung.,worse
D502588699,PHP,Python,"Coming from the PHP ""language"", we have far worse problems than the explicit self required in Python.",worse
E682491354,Windows XP,Windows 8,Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance,worse
I1243050773,Nokia,Motorola,"In brief, Nokia will never win Motorola.",worse
H1087976118,PHP,Java,I found the JS and PHP lib easier to work with than the Java ones.,better
F768972131,MySQL,PostgreSQL,"For years, the common industry perception has been that MySQL is faster and easier to use than PostgreSQL.",better
T3157332185,Chrysler,Toyota,"While Chrysler says the Sebring offers the same or better EPA volume as its competition, the car feels a bit more closely coupled and taller than the Ford Fusion or Toyota Camry.",better
I1259897640,bus,truck,"In fact, the NHTSA says that traveling by school bus is seven times safer than traveling by car or truck.",better
A167933134,Lisp,Python,"After some basic performances checking as seen in my Common Lisp Sudoku Solver project where I did get up to ten times faster code when compared to Python, it felt like the amazing set of features of the language could be put to good use here.",better
J1532278678,Leica,Nikon,"I would definately recomend carrying both types of ""angle helper"" if doing things for real.And the Leica LRF is better than the Nikon.",better
A37560207,BMW,Ferrari,"1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23",better
F744090920,Integer,Floating-point,"For example, Integer data is processed faster than Floating-point data or decimal data.",better
N2204403635,Sigma,Nikon,"Sigma makes some decent lenses, but Nikon knows their own exposure system better than anyone.",worse
J1468455593,Lisp,Java,"It still doesn't have macros the way Lisp does and it doesn't have sexprs (yes, I really do like the parenthesis), but it is a better follow-on to C than C++ and still hits the system-programming domain that Java missed so bady.",better
M1979674796,pennsylvania,michigan,pennsylvania is at 65 mph while michigan and Indiana have slower limits for trucks.,better
M2054187004,Python,Haskell,"Python is nice and easy to use and learn but it runs like treacle much much slower than C, C++ or Java etc... if you're looking to explore the world of non C style programming try a functional language like Haskell it's a recursive programming language, no for loops and no variables it's quite interesting though.",worse
K1654161907,plastic,concrete,Love the plastic....so much better than the Kingdome's green concrete.,better
O2389306881,Samsung,Nokia,The 2012 numbers provides better news for Samsung fans as it dethrones Nokia as the world's top cellphone manufacturer.,better
M1979677167,pennsylvania,carolina,"pennsylvania is the biggest state left and has much better demographics for her than the second biggest (North carolina, where polls all show Obama up by 10+%).",better
D399478575,PostgreSQL,MySQL,but I've found PostgreSQL to be generally superior to MySQL for essentially all of my needs).,better
H1201025316,Amazon,Google,I'm finding that Amazon 's selection of apps are very limited and mediocre compared to Google Play.,worse
F890239843,SQLite,MySQL,"Hell, SQLite is better than MySQL for that.",better
H1229765190,Samsung,Nokia,"In addition, having already previewed Samsung i7110, we have to admit that the Nokia ergonomics are a whole lot better.",worse
O2391947780,Chevrolet,Ford,"The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",better
L1892507093,Toyota,BMW,"One can argue that Toyota comes up with better names than, say BMW - ""Avalon"", ""Tacoma"", ""Corrolla"" sound better than ""3.25"" or ""5.25"".",better
F779151934,Ruby,PHP,From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?,better
E616650827,rat,mouse,Drunk as a drowned rat - Worse than drunk as a drowned mouse.,worse
J1546754182,Google,Microsoft,Jeeeshh... Google is worse than Microsoft of the 90s.,worse
L1834721862,Groovy,Java,"Not only are there reasonable alternatives in languages like Scala, Groovy, and C#, but there is even a better option that has already been explored for Java:",worse
M2023103527,PostgreSQL,MySQL,"PostgreSQL has a much nicer set of drivers and supports both standard ANSI-SQL and extended features, in many cases better than MySQL.",better
F793560388,Direct3D,OpenGL,"further, some stuff is a lot easier (one example: standardized vertex buffers in Direct3D versus the VAR/VAO extension mess in OpenGL).",better
F794674342,Smalltalk,Java,"(FWIW, Smalltalk (and to a much lesser extent, Java)",better
A129910760,Hewlett-Packard,Dell,"According to the Wall Street Journal , the board produced today a presentation that painted an unfavorable picture of the company, including one slide that states point-blank ""H-P's [ Hewlett-Packard ] recent performance has been superior to Dell.""",better
B266518870,Microsoft,Google,And letting Microsoft usurp the web is even worse than letting Google have it.,worse
I1294308631,cement,concrete,In summary - a plaigarized technology - a bad cement and a worse concrete.,better
H1098224067,carolina,missouri,"If the SEC felt like dipping into the ACC, Clemson or North carolina would make more sense, but I still think missouri is a better fit.",worse
D520662217,Microsoft,Google,"Contrast that with Microsoft or, even worse, Google and its absolutely a disaster.",better
R2903603990,Python,Perl,"Tim Bray, Sun's director of Web technologies, said some scripting languages, such as Python, can be easier to learn than Java, but others, such as Perl, are harder.",better
G959031957,Honda,Ford,Honda is a better brand than Ford.,better
L1806075900,Nissan,Renault,"Nissan/Infiniti have been the Houdini of the motor industry, not very long ago it did look as though they might go under because of their horrendous debts but with Renault on board and some truly exciting new products the future looks a great deal better.",worse
H1220699955,Renault,Nissan,I must say that Renault design engineers are far better than the Nissan.,better
J1532423700,USB,Bluetooth,I would do it via USB (assuming that's much faster than Bluetooth).,better
B285361663,hockey,baseball,"And this goes to prove it's easier to win in hockey than in baseball, I guess.",better
D404375057,MySQL,PostgreSQL,But now version 2.7.6 is over two times faster than MySQL and over twenty times faster than PostgreSQL.,better
B325084845,Ruby,PHP,"Apparently the Ruby people are more forward thinking, which makes sense given how much cooler it is than PHP :-)",better
H1182606824,ipod,laptop,"I'll get my AOL instantly on my Blackberry, and instantly on my ipod Touch, but it's a lot slower coming through on my MacBook Pro laptop.",worse
T3184465297,Windows 8,Windows 7,"Windows 8 Developer desktop - looks like Windows 7, runs a hair faster.",better
B253764471,harvard,princeton,And harvard is a better school than princeton.,better
K1608487142,paint,chalk,"Latex paint provides better fade resistance, flexibility, chalk resistance and adhesion.",better
F845752998,Lexus,Audi,"Handling The Lexus LS 460 has a significantly smaller turning radius than the Audi A6, allowing much better maneuverability in and out of tight spots.",worse
D507004933,Audi,Lexus,"Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the Lexus ES sedan now offers more power (268 hp) and worse fuel economy (24 mpg combined) from its base engine.",worse
L1839696258,Sigma,Nikon,"Not to say, Canon also have lousy auto ISO system, Sigma quality 24-70 and 70-200, very high read noise (low dynamic range), inferior entry level lenses compared to Nikon, and many more.",worse
F845753750,Nissan,Ford,"Handling The Nissan LEAF has a significantly smaller turning radius than the Ford Focus ST, allowing much better maneuverability in and out of tight spots.",better
L1847933500,Apple,IBM,"Now let's be clear; in this author's humble opinion, Apple is still way better than IBM.",better
N2120542111,Ruby,Python,"Ruby seem to be slower than Python or perl, but faster than",worse
N2262536967,Sony,Apple,Sony EX-71s are a good choice...pretty cheap with MUCH better sound than stock Apple earbuds.,better
I1397371117,wii,ps2,I thought the wii should have better graphics than ps2.,better
N2147038086,BMW,Toyota,"Secondly the ""BMW"" tax is the wrong analogy, better is comparing Toyota to Chrysler, you'll pay a small premium but get a vastly better car.",worse
O2413858403,beer,cider,The beer is better than good and the range of cider is something to cherish.,better
A15324846,baseball,tennis,"10. Given the same force, a baseball will accelerate faster than a tennis ball.",better
M2023104034,PostgreSQL,Oracle,PostgreSQL is a better fit for most Oracle apps.,better
D527266319,MySQL,PostgreSQL,"could also do that for MySQL, but PostgreSQL is simply a better RDBMS.",worse
H1078689787,Python,Perl,I find Python much easier to read six months down the road than Perl is.,better
L1848861261,Ford,Toyota,No wonder why Ford has now been named better overall quality vs Toyota.,better
E669195712,Nike,Adidas,Even Nike-ized individuality is way better than say Adidas coming out with new uniforms for March Madness which besides changing the school colors were exactly the same for all teams.,better
H1177038896,Perl,Java,"I learned some other languages before, like Perl and C, but so far, I like Java better.",worse
P2567375670,Direct3D,OpenGL,"The MS-product which is handling the game proper is DirectX/Direct3D, which is pretty damn decent and generally regarded as the best there is (the competitor is OpenGL).",better
T3184471481,Windows 8,Windows 7,"Windows 8 is claimed to start up 40 percent faster than Windows 7 on the same hardware, and have ten to twenty percent better memory.",better
O2279121415,PHP,Java,"So, yes, PHP is getting better and better while catching up with Java.",worse
T3162418183,basketball,baseball,"While recognized as a great basketball player, he was only mediocre on the baseball diamond.",better
G1018532288,Swift,Objective-C,I am very skeptical that Swift is faster than Objective-C.,worse
B326420154,Apple,Sony,"Apple makes a superior day to day computing machine than do Dell, HP, Sony, etc. Mac's OS is better for graphics, arts, etc.",better
K1676248405,Integer,Floating-point,Many processors can do Integer calculations much faster than similar Floating-point operations.,better
S2964316598,missouri,michigan,"Undefeated missouri jumped ahead of michigan State by winning 51-28 at Vanderbilt, and the Commodores are a better team than Iowa in my estimation.",better
L1754050404,JavaScript,PHP,Much better than JavaScript e -mails/PHP.,worse
G925161745,Ruby,Perl,He thought Ruby was a good name for a programming language newer (and hopefully better) than Perl.,better
P2582454157,Nokia,Samsung,"The Nokia 3310 is in some ways better than the Samsung Galaxy S4, here's why",better
I1390329615,Scala,Java,I think that Scala probably is not better than Java yet.,worse
H1122323110,Oracle,PostgreSQL,If you're so anti-Oracle you're better off using PostgreSQL.,worse
F801274876,Siemens,Nokia,"General Comments I think that Siemens phones are much better than many others famous manufacturers' like Nokia, Motorola, e.t.c.",better
K1691972633,golf,hockey,"Maybe it would be better if I played golf, not hockey.",better
M1977554387,Bluetooth,USB,"PDAnet Bluetooth connects much faster than USB thethering, but it disconnects often.",better
D505085864,Lisp,Java,"Common Lisp is a bit less strongly functionally-oriented, but it still supports it better than, say, C or Java, by having first-class functions and closures.",better
O2266722675,Scala,Java,So Scala is no better off then Java.,worse
D553481320,Perl,AWK,"DavidKorn For a few years after the release of Perl in 1987, AWK remained competitive simply because it had a smaller, faster implementation.",worse
L1790053271,Perl,Python,"Neither is a clear winner on performance; Perl is faster for some things, Python for others.",better
I1405478470,psp,ps3,It is easier to organize data on the psp than on the ps3.,better
B324696924,OpenGL,Direct3D,"Apparently ""Left 4 Dead"" runs faster on Linux/OpenGL than Windows/Direct3D...",better
R2793691072,softball,basketball,"They're much better at softball than they were in basketball,"" McGinn said.",better
F850957200,Haskell,Python,Haskell compiled to native code is typically an order of magnitude faster than Python.,better
B171666302,Kingston,Intel,"after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",worse
L1773172863,Integer,Floating-point,"My original guess was that division might be slower because, for a lot of cases (such as 42/5) the results are non-Integer, so it has to use (mildly slower) Floating-point hardware to find the result.",better
H1149352766,Windows XP,Windows 98,I have it installed on my Windows XP system as well as an older (and considerably slower) Windows 98 machine.,better
K1744936439,Samsung,Nokia,"Motorola's menu design seems better than Samsung to me, but Nokia still rules the roost in interface design.",worse
G1027435578,laptop,iphone,"I can do everything faster on my laptop than any Kindle, iphone, iPad, tablet or other device.",better
H1112869635,virginia,california,"If you factor in population densities, then virginia being slower than california and Oregon may likely be due to more saturation because it's covering the entire Eastern US.",worse
I1373862934,Amazon,Sony,"It does seem Amazon is using a lower quality display in new Kindle's, so you want the best looking screen maybe better to go with Kindle Keyboard, Nook STR or new Sony-T1.",worse
F814705439,plastic,concrete,Glass Fiber reinforced plastic technology is an innovative technology that is rapidly replacing the conventional materials such as concrete due to its superior properties.,better
A59655693,oregon,virginia,"2. Dennis Dixon, oregon The West Coast's version of Pat White, except he's a better passer than the West virginia star.",better
H1199952434,Apple,Sony,"I mean, when you really analyze it, is the Apple iPod really that much superior to an mp3 player from, for example, Sony?",better
T3150295303,Windows 7,Windows 8,Where the previous version Windows 7 is perceived as superior to Windows 8.,better
B228996843,aluminum,steel,aluminum is less expensive than stainless steel and easier and faster to fabricate.,better
T3246978946,Lisp,Python,you can write serious programs in Lisp faster than in Python... ;-),better
O2416675135,espn,fox,The bigger ill is that espn has performed much better than TNT and much worse than fox - which the vast majority of the print media will not discuss.,worse
Q2776529464,Honda,BMW,"They can't be bothered to trade in their old Honda Accord for a new $100,000 BMW or Mercedes because the fancy new car won't get them anywhere any faster than the existing car.",better
D394248954,Scala,Java,"But in less-than-expert hands or worse, in the hands of those that resent Scala, it's less good than Java.",worse
A40830734,fox,cnn,"1. Once again, I never said anything about fox being worse than cnn.",worse
K1646170788,Objective-C,Java,Look at how much easier it is with Objective-C (and Cocoa) and you'll soon be wondering precisely which fresh circle of hell Java and C++'s designers will be given when their time comes.,better
R2837541767,Scala,Java,This is easier for some languages who have more syntactic sugar (like Ruby or Scala) and much more difficult for others (like Java).,better
P2496639450,Ford,Toyota,"The Ford Focus ST is slightly shorter than the Toyota Prius, which may make it easier to park.",better
I1272775258,SQLite,MySQL,"In my experience, SQLite is slower than MySQL, despite being in-process.",worse
Q2627693081,ps2,ds,"The ps2 games were miles better, though, and I'm sure the ds one I mentioned would be great, too.",better
M1924449973,OpenCL,CUDA,"Open standards are better than propietary ones, and you should know by now that's also my POV, but actual applications are better than none and OpenCL it's been here for only 1 year or so, and it's not yet as good as CUDA.",worse
K1730848526,Toyota,Chrysler,"More challenging yet, the van's designers had only shaped the engine box for a four-cylinder engine, meaning Toyota could not fit the Previa with a V-6 engine to compete with the faster and more powerful Chrysler minivans--or those from Ford and General Motors as well.",worse
B325125216,wii,ds,Apparently the wii isn't superior to the ds for Square-enix.,worse
I1389450975,softball,baseball,"I think softball is faster (than baseball) and that makes it stand out,"" Coach Tarr said.",better
H1215868282,fox,espn,I'm so glad people here have finally remembered that fox isn't actually better than espn!,worse
B196887354,Windows 98,Windows XP,"All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.",worse
A138645732,Sony,Microsoft,"Actually, Sony can be even nastier than Microsoft when it comes to licensing games for their platform.",worse
G975514590,pennsylvania,michigan,"However, I learnt that pennsylvania has better weather when compared to michigan.",better
K1709061737,metal,concrete,"metal ramps are good, but concrete is better.",worse
I1240489293,OpenGL,Direct3D,"In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL than Windows 7 and DirectX/Direct3D.",better
R2828414110,Bash,Python,This idea has given me a small kick in the pants and I actually started prototyping in Bash-- but will switch back to Python because of better array support.,worse
R2852378827,JavaScript,Python,This makes JavaScript in my experience harder to debug than Python.,worse
B177480303,golf,baseball,"A golf ball is easier to hit than a baseball, but not easier to hit properly,"" he says.",better
R2938165370,Toyota,Nissan,Toyota or Honda will depreciate slower than a Nissan.,worse
B326674436,Swift,Objective-C,"Apple's Swift Programming Language Faster, Safer Than Objective-C",better
H1155035480,PostgreSQL,Oracle,I have seen PostgreSQL perform much better in areas that Oracle isn't very suitable.,better
G984840942,Python,Ruby,"However, VisualWorks Smalltalk is almost twice as fast as Python which is faster than Perl which is faster than Ruby.",better
Q2720847784,Adidas,Nike,The standard Adidas jerseys are much nicer than those by Nike.,better
B326425100,Apple,Google,Apple Maps works GREAT for me and in many respects is superior to Google.,better
T3184426026,Windows Vista,Windows XP,"Windows 7 boots much faster than Windows Vista-but surprisingly, no faster than Windows XP.",worse
L1813332889,Nokia,Samsung,Nokia Lumia 620 Does Better than the Samsung Galaxy S3 in BenchMark Tests,better
E566894205,Google,Amazon,"Depending on the definition of ""gain,"" will the Google business grow at a faster rate than Amazon?",better
E715838984,PostgreSQL,MySQL,"Finally, PostgreSQL is clearly better for some workloads out-of-the-box than MySQL is, especially for more complex queries.",better
H1148077288,OpenGL,Direct3D,I have found that OpenGL games run better on Linux+Intel 3000 and Direct3D games could go either way(PlayOnLinux+Intel vs native+AMD) usually with only a 5-10% difference.,better
A92516469,missouri,georgia,"5. Riddle me this, Pat Forde : you determined that missouri is clearly better than georgia after three weeks.",better
H1122841324,Python,Haskell,"If your goal is merely to consume tools -- perhaps writing a small amount of code, you (I think) still have intention (if unseen) to be a programmer, but you might find it easier to use languages like Perl, Python, or Ruby -- which have large standard libraries, good ability to function as ""glue"" and low syntactic and semantic overhead (that is to say, they're a bit easier to write) than some languages (eg, Erlang, Haskell, R, etc.)",better
J1411082644,Python,Java,It is not really correct to ask why Python is slower than Java/C#.,worse
B318404841,SQLite,MySQL,"Anyway, it seems like an ideal solution for me, as I have to provide a simple to use set of RPMs for my programs and SQLite is a lot easier to package up and use than MySQL or PostGreSQL.",better
B273547573,Ruby,Python,And Ruby is better than either perl or Python.,better
F824613808,Google,Apple,"Google Maps is good , much better than Apple Maps.",better
K1706816148,carolina,missouri,Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,better
M1938093329,Amazon,Apple,Other can see that Amazon and Best Buy are selling Macs better than Apple can.,better
F734980624,football,basketball,football is one thing; basketball should be easier.,better
A111175915,PHP,Java,"9 thoughts on "" Is PHP better than Java, .net",better
L1920197891,SQLite,MySQL,"on the same test with 250000 inserts, SQLite is about 3 times slower than MySQL.",worse
L1850026758,tennis,baseball,"Now, tennis is the better sport because you have to run around a lot and be in better shape to play and is more aggressive, but in the case you described baseball would be harder.",better
L1774673298,Perl,Ruby,"My primary language, though, is likely to remain Python, as I find it about 60 million times easier to read than Perl, and 100 million times easier to read than Ruby.",better
R2853240240,ps2,psp,-This maybe works too in the ps2 version but it will be harder than on the psp version.,worse
B326201305,Apple,Google,Apple had better watch out for Google.,better
D510785822,Google,Microsoft,Conclusion: Google is acting the same (arguably even worse) as Microsoft used to in the 90s.,worse
M1972573853,pasta,bread,pasta is way easier to make than bread.,better
T3163010602,Java,Lisp,"While some of them can be used via FFI, it won't be feasible for functions that require high performance (FFI calls have their overhead) There's also a question of hosting -- it might be easier to find Java hosting rather than Lisp web hosting.",better
D411983698,missouri,carolina,But the deciding factor could be Snyder's commitment to his players and to the fact missouri is a better basketball job than South carolina.,better
B231874454,Amazon,Google,"Amazon is innovating on Android, faster than Google.",better
S3038980675,Groovy,Java,"We decided to code the account switching business logic on the back-end in Groovy, instead of Java as the rest of the back-end.The reason for thiswasreallythathavingoneprograminglanguage on a project is superior to havingtwo, especiallysince the new language is much more expressive and cool than the old one.Compilation of code base in twolanguages is slow.",better
L1806099345,Nissan,Toyota,Nissan seems to be in slightly better shape than either Toyota or Honda.,better
M1988309762,Perl,Java,Perl is slower and faster than Java,better
S3105555056,ds,wii,"Whatever the ds can do , wii can do better, right?",worse
D538988864,CUDA,OpenCL,"CUDA is still strong because it has better support, but we all want OpenCL to win out in the long run (even if they have to update it majorly before that happens)",better
I1281907994,Windows 8,Windows 7,"In PCWorlds tests, Windows 8 started up 35 percent faster than Windows 7.",better
H1159510722,Python,Ruby,I hear the Python interpreter is a lot faster than the Ruby interpreter.,better
K1718603743,sausage,bread,"Mine was the hot dog à la maison (16), a fairly decent sausage presented on rather dry bread and topped with pickled fennel.",better
D437297708,juice,cider,"(By the way, white vinegar or lemon juice is better for oily hair than apple cider vinegar.",better
T3165855318,SQLite,MySQL,"While the tutorial implies that using SQLite is the easiest path to getting a working app, it's probably easier to use MySQL or postgres if you're comfortable with those.",worse
N2146104012,Chrysler,Toyota,"Second, any defense of the U.S. federal Public ""Education"" department and all its trappings is the equivalent of buying a lemon Chrysler for the same price as a top-of-the line Mercedes sedan, made even more insulting by the fact you could in fact buy a far better performing Mercedes, BMW or even a modest Honda Accord, Toyota or Ford for less to far less money.",worse
Q2614743671,Java,Perl,"The point wasn't ""Java is better than Perl"".",better
M2003247030,plastic,wood,plastic frames are far harder to work with than wood.,worse
F745093444,milk,soda,"For example, she will point out why milk is a better choice than soda.",better
Q2622278477,Groovy,Java,The problem is that Groovy makes it a lot easier to make a hash of a program than does Java.,better
R2871015429,Bash,Python,# This subprogram will green tag a red tagged truck  and mark it as availible #Each truck should have its own file and there should be a csv file showing the current status of all of the trucks in the system # This might be easier to write as a Bash script rather then a Python program.,better
B326370094,Apple,Intel,Apple is reportedly planning to upgrade its current lineup of MacBook Air laptops on Tuesday with faster processors from Intel.,better
D489027521,Nissan,Toyota,"Clearly, the Nissan NV Cargo NV1500 is a better financial choice over the Toyota Sienna, when considering MSRP.",better
P2469198757,ds,wii,"The ds version is noticeably better than the wii version however, and if...",better
J1545024764,Java,Python,"Java) is demonstrably worse than teaching in Python, but ""worse"" in",worse
M1923715567,OpenCL,CUDA,OpenCL seems to be slower than either C++ AMP or CUDA.,worse
M2044914786,Windows 8,Windows 7,Pros: Windows 8 is more stable and faster than my Windows 7 installs.,better
B232544628,missouri,virginia,A mediocre missouri team slowed Nevada's rushing attack and Nebraska severely limited virginia Tech.,better
D464974667,Samsung,Nokia,"Chances are, if one can do it better, he's probably at Apple, Samsung, HTC or LG, all of whom have gotten things done faster and better than Nokia.",better
H1153851300,Ford,Toyota,I have owned a Ford F150 and I also think that the Toyota is a better driver and better built.,worse
I1332739909,milk,soda,I rank pasteurized milk slightly better than soda in nutritional value.,better
J1544953919,Java,Objective-C,Java apps on Mac are slower and bulkier than their native Objective-C counterparts.,worse
T3162554580,Ruby,Python,While Ruby was an order of magnitude slower than Python there was no contest.,worse
M1988309914,Perl,Python,Perl is surely harder to learn than Python.,worse
R2907387083,Python,Java,TJL says that a strike against Python is that it is slower than Java.,worse
Q2614428771,michigan,virginia,"The point is Skov saying that somehow michigan is worse than a Notre Dame, USC, or virginia, because that's just plain false.",worse
G1067348400,Microsoft,Apple,If any company is behaving even worse than Microsoft at it's market peak it is Apple.,better
O2297544736,steel,aluminum,steel will oxidize (rust) faster than aluminum.,worse
G1001834535,motorcycle,truck,I also enjoy the fact that my motorcycle gets better gas mileage than my truck and I can cut my commute down by lane splitting (I love California!),better
R2849421508,Toyota,Ford,This is why Toyota is doing better than Ford+Holden.,better
Q2670634417,mobile,laptop,"There's something about it that feels much faster than my (admittedly out of date) mobile phone, and it feels significantly faster than my laptop or desktop.",better
F764828955,Python,Ruby,"For this reason alone, Python is clearly better than Ruby or Perl.",better
M2054210575,Python,Lisp,"Python would be a much better choice in my view for a variety of reasons (and I say this though I'm a Perl nut!), or hell, if you teach them Lisp they'll be horribly screwed up for the rest of their lives but at least they'll understand how registers and OOP work.",better
F752937911,missouri,virginia,"For me, that list is Brian Matusz (San Diego), Aaron Crow (missouri), Tyson Ross (California) and-against my better judgment-Jacob Thompson (virginia) and Lance Lynn (Mississippi).",worse
T3177827090,wii,ps3,Why wii is better than ps3,better
P2505992950,golf,baseball,The golf is FAR better than the baseball.,better
I1301892343,pizza,sandwich,In the Cafe Promenade the pizza was good but the sandwich selection could have been better compared to Carnival.,better
J1418933586,BMW,Ford,It is why BMW are doing so much better then Ford and Toyota for the moment at least.......they are selling the cars to Doctors and high end civil servents who retain some credit capacity......but if the ship of state defaults ?,better
O2267076197,Ruby,PHP,"So since you opened the door, why do you think it was so much easier to do this project in Ruby than in PHP?",better
M1996476910,PHP,Perl,PHP is definitely far worse that Perl .,worse
E702036444,Perl,Java,Feeding the trolls (12/21): I measured Perl to be faster than Java for doing a bunch of sequential string processing .,better
B252487507,Ford,Toyota,"And Ford is quick to point out that's 5 mpg better than its closest competitor, the Toyota Prius plug-in.",better
L1775395531,Nokia,Samsung,My recollection has been that Nokia did pretty well and Samsung quite poorly.,better
P2566681457,Intel,IBM,The move from System p to Intel-based blades was made easier by the fact that the IBM has embraced the Linux platform.,better
H1189579023,Swift,Objective-C,I love the Swift because it's safer and easier than Objective-C.,better
I1307574967,PHP,Ruby,"In the last days, the article Why PHP is better than Ruby has got very popular on DZone.",better
J1521912207,google,amazon,I was using google music but amazon is just better.,worse
G1024663378,IBM,Intel,IBM will ALWAYS be a better chipmaker than Intel.,better
J1441129918,holiday,wedding,"It's a well-known fact that returning from a holiday weekend isn't always easy, but a beautiful bride with an ""aversion to all things boring"" and a drop-dead gorgeous Fort Lauderdale wedding can make the transition much, much easier.",worse
D507219353,Amazon,Microsoft,"Compare the Cloud released new rankings indicating Amazon Web Services, though a perennial cloud services frontrunner, is experiencing slower growth and is losing the ""mind share"" battle with competitors such as IBM and Microsoft.",worse
S3089891317,Microsoft,Google,"We usually don't like Microsoft, but I don't think they are worse than Google.",better
H1178921875,Scala,Java,I like Scala and i think it is much easier to understand and read than Java.,better
K1713539387,Microsoft,Intel,"Microsoft, and distract the DOJ from worse dangers such as Intel.",better
J1456301572,Perl,Java,It's much faster to write an application in Perl than in C or Java.,better
E670819716,Adidas,Nike,Even the ugly Adidas kits are better than most of the Nike kits.,better
J1429211763,Samsung,Nokia,I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,better
H1178653943,Java,Objective-C,"I like Java better than Objective-C, and any coding practice you gain will be more widely applicable.",better
S3087380573,PostgreSQL,Oracle,"We tested PostgreSQL, and it was acutually faster, and easier to maintain then our Oracle database.",better
T3184460824,Windows 8,Windows 7,Windows 8 adoption 5x slower than Windows 7 so far,worse
R2849512597,Windows XP,Windows Vista,"This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",worse
F820306759,golf,tennis,golf gets better coverage than tennis ffs.,better
P2464227405,Direct3D,OpenGL,"The Direct3D system is a technically superior piece of technology, and support for working with it is still better than OpenGL whether you're a hobbyist or a pro.",better
R2942041578,ds,wii,"Trauma Center 2 is great, definitely suits the ds better than the wii.",better
F759480975,Haskell,Python,"For such a small self-contained task, I don't think Haskell is any better than Python.",worse
G1028106980,Pepsi,Coca-Cola,"I can live with commercials that say that Pepsi is better then Coca-Cola, I can live with a commercial that says buy Hyper-V instead of VMware but I always have problems with seeing how Microsoft is constantly spreading this kind of commercials that are plain wrong.",better
K1662985797,metal,aluminum,Magnesium is a light weight harder metal than aluminum.,better
G907350110,Coca-Cola,Pepsi,Here's Why Coca-Cola Is Better Than Pepsi,better
L1895124577,Ruby,Perl,"one I know who's seen Ruby code argues that Perl is better -- but then,",worse
P2452972580,basketball,tennis,The crazy thing is I'm probably better at basketball than I am tennis.,better
J1472359909,Python,Perl,It tends to be easier for me to program in Python than Perl.,better
H1086596786,OpenGL,Direct3D,"If OpenGL is faster, and it has a comparable feature set, and hardware support is excellent... why is Direct3D still the de facto API?",better
D507021296,Windows XP,Windows Vista,"Compared with Windows XP, Windows Vista does a better job of helping to prevent hostile programs and Web sites from attacking your PC.",worse
Q2762613615,Windows 8,Windows 7,"The Windows 8 Desktop is essentially a much, much faster and cleaner version of Windows 7. People are morons.",better
D400179542,Java,Python,But Java is also an order of magnitude faster than Python.,better
H1181101770,Coca-Cola,Pepsi,"I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",better
L1769941943,Windows 7,Windows 8,"My last PC had Windows 7 and I would use it from time to time until I realized Windows 8 was better, faster and had less problems.",worse
