id,object_a,object_b,aspect,sentence,most_frequent_label
232-30,the Canon,any in its class,nan,"Combining these two limits low-light performance , but the Canon does as well or better than any in its class in this regard.The electronic amplification ( ISO ) helps with this , but can introduce noise .",better
232-30,any in its class,the Canon,nan,"Combining these two limits low-light performance , but the Canon does as well or better than any in its class in this regard.The electronic amplification ( ISO ) helps with this , but can introduce noise .",worse
232-31,the `` High ISO '' mode,nan,shutter speeds,"Therefore the `` High ISO '' mode means trading some quality for the higher shutter speeds , but it 's a good option to have .",better
232-31,nan,the `` High ISO '' mode,shutter speeds,"Therefore the `` High ISO '' mode means trading some quality for the higher shutter speeds , but it 's a good option to have .",worse
232-8,not a camera in the crowd,the A630/640 pair,nan,"I had read a foot-high stack of digital photo magazines by this time , and there was not a camera in the crowd that could touch the A630/640 pair , even for more money -- and I simply had to admit it .",better
232-8,the A630/640 pair,not a camera in the crowd,nan,"I had read a foot-high stack of digital photo magazines by this time , and there was not a camera in the crowd that could touch the A630/640 pair , even for more money -- and I simply had to admit it .",worse
234-1,My A630,old Kodak,colors,The Bottom Line My A630 does n't give vibrant colors like my old Kodak & Nikon cameras .,worse
234-1,old Kodak,My A630,colors,The Bottom Line My A630 does n't give vibrant colors like my old Kodak & Nikon cameras .,better
234-1,My A630,Nikon cameras,colors,The Bottom Line My A630 does n't give vibrant colors like my old Kodak & Nikon cameras .,worse
234-1,Nikon cameras,My A630,colors,The Bottom Line My A630 does n't give vibrant colors like my old Kodak & Nikon cameras .,better
234-13,it,average,shutter lag,"Reviews say it has a better than average shutter lag ( around 0.3 sec ) , and that was important to me .",better
234-13,average,it,shutter lag,"Reviews say it has a better than average shutter lag ( around 0.3 sec ) , and that was important to me .",worse
234-27,the `` super fine '' setting,the `` fine '' setting,nan,"I felt that the `` super fine '' setting looked worse than the `` fine '' setting , and did n't see a difference between results in L vs. M1 ( I think the former produces bigger files ) .",worse
234-27,the `` fine '' setting,the `` super fine '' setting,nan,"I felt that the `` super fine '' setting looked worse than the `` fine '' setting , and did n't see a difference between results in L vs. M1 ( I think the former produces bigger files ) .",better
234-30,The two A630s,The two A630s,nan,"The two A630s were basically identical , and equally flat in my opinion .",same
234-30,The two A630s,The two A630s,nan,"The two A630s were basically identical , and equally flat in my opinion .",same
234-30,The two A630s,The two A630s,nan,"The two A630s were basically identical , and equally flat in my opinion .",same
234-30,The two A630s,The two A630s,nan,"The two A630s were basically identical , and equally flat in my opinion .",same
234-31,The Nikon,nan,color,"The Nikon gave me better color and clarity , even though it only had 6 megapixels to the Canon 's 8 .",better
234-31,nan,The Nikon,color,"The Nikon gave me better color and clarity , even though it only had 6 megapixels to the Canon 's 8 .",worse
234-31,The Nikon,nan,clarity,"The Nikon gave me better color and clarity , even though it only had 6 megapixels to the Canon 's 8 .",better
234-31,nan,The Nikon,clarity,"The Nikon gave me better color and clarity , even though it only had 6 megapixels to the Canon 's 8 .",worse
234-36,my old Kodak CX6330,my Canon A630,shots,"For what it 's worth , during my trip to Thailand some shots looked better with my old Kodak CX6330 or my dad 's Olympus D580 than they did with my Canon A630 .",better
234-36,my Canon A630,my old Kodak CX6330,shots,"For what it 's worth , during my trip to Thailand some shots looked better with my old Kodak CX6330 or my dad 's Olympus D580 than they did with my Canon A630 .",worse
234-36,my dad 's Olympus D580,my Canon A630,shots,"For what it 's worth , during my trip to Thailand some shots looked better with my old Kodak CX6330 or my dad 's Olympus D580 than they did with my Canon A630 .",better
234-36,my Canon A630,my dad 's Olympus D580,shots,"For what it 's worth , during my trip to Thailand some shots looked better with my old Kodak CX6330 or my dad 's Olympus D580 than they did with my Canon A630 .",worse
234-49,Canon camera,nan,color,"My friends who own Canon camera say the color is `` more realistic , '' and if that 's what you want then the A630 might be a good choice ( but be careful with the auto setting ) .",better
234-49,nan,Canon camera,color,"My friends who own Canon camera say the color is `` more realistic , '' and if that 's what you want then the A630 might be a good choice ( but be careful with the auto setting ) .",worse
235-10,SD cards,memory sticks,price,"The A630 also uses SD cards , which have come down in price and is a little cheaper than memory sticks .",better
235-10,memory sticks,SD cards,price,"The A630 also uses SD cards , which have come down in price and is a little cheaper than memory sticks .",worse
235-15,nan,many other point and shoot cameras,the flash recharge time,"So far , the flash recharge time has always been less than 2 seconds , much faster than many other point and shoot cameras I 've used .",better
235-15,many other point and shoot cameras,nan,the flash recharge time,"So far , the flash recharge time has always been less than 2 seconds , much faster than many other point and shoot cameras I 've used .",worse
235-2,The Powershot A630,nan,LCD screen,"Full Review The Powershot A630 is the predecessor to the A610 and A620 line with a boost in image resolution ( 8MP ) , larger LCD screen and adjustable ISO .",better
235-2,nan,The Powershot A630,LCD screen,"Full Review The Powershot A630 is the predecessor to the A610 and A620 line with a boost in image resolution ( 8MP ) , larger LCD screen and adjustable ISO .",worse
236-1,camera,nan,nan,The Bottom Line I have not found a better camera for this price range .,better
236-1,nan,camera,nan,The Bottom Line I have not found a better camera for this price range .,worse
236-19,Both,the EOS rebel SLR,DIGICII processor,Both were great cameras and had the DIGICII processor ( like the EOS rebel SLR ) .,same
236-19,the EOS rebel SLR,Both,DIGICII processor,Both were great cameras and had the DIGICII processor ( like the EOS rebel SLR ) .,same
236-19,Both,Both,nan,Both were great cameras and had the DIGICII processor ( like the EOS rebel SLR ) .,same
236-19,Both,Both,nan,Both were great cameras and had the DIGICII processor ( like the EOS rebel SLR ) .,same
238-7,The cameras,the camera,the screen,The cameras loaded and looked even better than the screen on the camera .,better
238-7,the camera,The cameras,the screen,The cameras loaded and looked even better than the screen on the camera .,worse
242-1,this,the Olympus,nan,"this was not our first digital camera , but is an improvement over the Olympus we had .",better
242-1,the Olympus,this,nan,"this was not our first digital camera , but is an improvement over the Olympus we had .",worse
244-10,a Canon camera,my S45,nan,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",better
244-10,my S45,a Canon camera,nan,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",worse
244-10,a Canon camera,my S45,nan,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",better
244-10,my S45,a Canon camera,nan,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",worse
244-10,a Canon camera,my S45,overall exposure,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",better
244-10,my S45,a Canon camera,overall exposure,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",worse
244-10,a Canon camera,my S45,color saturation,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",same
244-10,my S45,a Canon camera,color saturation,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",same
244-10,a Canon camera,my S45,accuracy,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",same
244-10,my S45,a Canon camera,accuracy,"My challenge was to find a Canon camera that could take photo images as sharp and detailed or maybe even more sharp and detailed than my S45 , and provide the same level of excellent color saturation and accuracy , with better overall exposure .",same
244-18,the A630,my S45,image quality,"only the A630 produced better image quality than my S45 , when viewed on my Dell Ultra Sharp 19 '' computer monitor and when printed out on my HP D7360 PhotoSmart printer .",better
244-18,my S45,the A630,image quality,"only the A630 produced better image quality than my S45 , when viewed on my Dell Ultra Sharp 19 '' computer monitor and when printed out on my HP D7360 PhotoSmart printer .",worse
244-19,The sharpness,nan,nan,The sharpness was better and the level of detail in the A630 surpassed that of the S45 .,better
244-19,nan,The sharpness,nan,The sharpness was better and the level of detail in the A630 surpassed that of the S45 .,worse
244-19,the A630,the S45,level of detail,The sharpness was better and the level of detail in the A630 surpassed that of the S45 .,better
244-19,the S45,the A630,level of detail,The sharpness was better and the level of detail in the A630 surpassed that of the S45 .,worse
244-22,the A630,the G7,costs,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",better
244-22,the G7,the A630,costs,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",worse
244-22,The G7,the S45,image quality,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",same
244-22,the S45,The G7,image quality,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",same
244-22,The G7,the A630,nan,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",worse
244-22,the A630,The G7,nan,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",better
244-22,the G7,nan,resolution LCD screen,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",better
244-22,nan,the G7,resolution LCD screen,"The G7 was close to the S45 in image quality , but not as good as the A630 , and for the fact that the A630 costs half as much as the G7 , it was a no brainer to send the G7 back to the store , although I loved the G7 's feature set and higher resolution LCD screen .",worse
244-23,the G7,the A630,quality photos,"The G7 is a great camera , do n't get me wrong , but I could not justify keeping both cameras , especially for the cost of the G7 and considering that the G7 did not produce better quality photos than the A630 ( equal in some cases , but not better ) .",worse
244-23,the A630,the G7,quality photos,"The G7 is a great camera , do n't get me wrong , but I could not justify keeping both cameras , especially for the cost of the G7 and considering that the G7 did not produce better quality photos than the A630 ( equal in some cases , but not better ) .",better
244-24,the G7,nan,nan,Maybe the G7 I received was not the best of the litter from the assembly line .,worse
244-24,nan,the G7,nan,Maybe the G7 I received was not the best of the litter from the assembly line .,better
244-33,the AA 's,nan,battery life,"I prefer Lithium-Ion batteries over rechargeable AA batteries , but battery life does seem to be better with the AA 's .",better
244-33,nan,the AA 's,battery life,"I prefer Lithium-Ion batteries over rechargeable AA batteries , but battery life does seem to be better with the AA 's .",worse
244-33,Lithium-Ion batteries,rechargeable AA batteries,nan,"I prefer Lithium-Ion batteries over rechargeable AA batteries , but battery life does seem to be better with the AA 's .",better
244-33,rechargeable AA batteries,Lithium-Ion batteries,nan,"I prefer Lithium-Ion batteries over rechargeable AA batteries , but battery life does seem to be better with the AA 's .",worse
244-34,the Lithium-Ion batteries,the AA 's,nan,"And with a Sony charging unit that only takes 15 minutes to charge four NiMH 2500 mAh batteries , as compared to one hour to charge the Lithium-Ion batteries , I guess I 'm starting to like the AA 's .",worse
244-34,the AA 's,the Lithium-Ion batteries,nan,"And with a Sony charging unit that only takes 15 minutes to charge four NiMH 2500 mAh batteries , as compared to one hour to charge the Lithium-Ion batteries , I guess I 'm starting to like the AA 's .",better
244-49,The zoom,the other three cameras,nan,The zoom is a bit noisier than the other three cameras I tested .,worse
244-49,the other three cameras,The zoom,nan,The zoom is a bit noisier than the other three cameras I tested .,better
245-2,it,many other,life,"My first impressions were this : I love the fact that it takes four batteries , this means more life than many other which only take two .",better
245-2,many other,it,life,"My first impressions were this : I love the fact that it takes four batteries , this means more life than many other which only take two .",worse
246-13,This camera,the old style caps,automatic screen cap,This camera has an automatic screen cap rather than having the old style caps that are tethered to the body of the camera .,better
246-13,the old style caps,This camera,automatic screen cap,This camera has an automatic screen cap rather than having the old style caps that are tethered to the body of the camera .,worse
246-16,this,camera,nan,I believe this is the best camera in this price range .,better
246-16,camera,this,nan,I believe this is the best camera in this price range .,worse
246-36,It,my G2,nan,It is vastly improved from the days of my G2 .,better
246-36,my G2,It,nan,It is vastly improved from the days of my G2 .,worse
246-4,it,my Canon G2,features,"My reason for purchasing the A630 is that it has almost all of the same features as my Canon G2 , minus the ability to mount an additional flash and some editing features , which are in the end useless especially if you have photo editing software like Adobe Photoshop .",same
246-4,my Canon G2,it,features,"My reason for purchasing the A630 is that it has almost all of the same features as my Canon G2 , minus the ability to mount an additional flash and some editing features , which are in the end useless especially if you have photo editing software like Adobe Photoshop .",same
246-6,It,many pocket cameras,nan,"It is bigger than many pocket cameras , but I have found that the swivel screen protects the screen when folded away .",better
246-6,many pocket cameras,It,nan,"It is bigger than many pocket cameras , but I have found that the swivel screen protects the screen when folded away .",worse
247-6,This camera,my old Olympus,nan,This camera is much easier to use than my old Olympus and takes really great pics and movies .,better
247-6,my old Olympus,This camera,nan,This camera is much easier to use than my old Olympus and takes really great pics and movies .,worse
247-7,the 630,the 540,battery life,I am still amazed by the battery life and would recommend the 630 over the 540 for the battery life .,better
247-7,the 540,the 630,battery life,I am still amazed by the battery life and would recommend the 630 over the 540 for the battery life .,worse
25-3,the SD550,the SD800,2.5 inch display,"Like the SD550 , the SD800 also have a 2.5 inch display at 7.1 megapixels .",same
25-3,the SD800,the SD550,2.5 inch display,"Like the SD550 , the SD800 also have a 2.5 inch display at 7.1 megapixels .",same
252-1,the A630,the A640,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",better
252-1,the A640,the A630,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",worse
252-1,the A630,A710IS,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",better
252-1,A710IS,the A630,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",worse
252-1,the A630,A570IS,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",better
252-1,A570IS,the A630,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",worse
252-1,the A630,S3,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",better
252-1,S3,the A630,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",worse
252-1,the A630,S5,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",better
252-1,S5,the A630,nan,"After many hours of * extensive * research reading all of the main expert reviews , plus hundreds of user reviews ( for the above cameras plus several others such as the Panasonic Lumix DMC-TZ3 ) , I chose the A630 ( and rejected the A640 , A710IS , A570IS , S3 , and S5 ) Before I get to the reasons why I went for the A630 and rejected the other four cameras , it is necessary to first cover a few important general points : * Be aware that many `` user comments '' for any camera can be erroneous or misleading .",worse
252-100,the EOS 350,my 630,noise,"I did notice that the EOS 350 did in fact have less noise than my 630 , but the EOS 350 is a SLR with a relatively huge CCD .",better
252-100,my 630,the EOS 350,noise,"I did notice that the EOS 350 did in fact have less noise than my 630 , but the EOS 350 is a SLR with a relatively huge CCD .",worse
252-105,the A630,nan,shutter,Four AA batteries means the A630 can take more photos ( with a faster shutter and flash response ) .,better
252-105,nan,the A630,shutter,Four AA batteries means the A630 can take more photos ( with a faster shutter and flash response ) .,worse
252-105,the A630,nan,flash response,Four AA batteries means the A630 can take more photos ( with a faster shutter and flash response ) .,better
252-105,nan,the A630,flash response,Four AA batteries means the A630 can take more photos ( with a faster shutter and flash response ) .,worse
252-105,the A630,nan,photos,Four AA batteries means the A630 can take more photos ( with a faster shutter and flash response ) .,better
252-105,nan,the A630,photos,Four AA batteries means the A630 can take more photos ( with a faster shutter and flash response ) .,worse
252-111,any of the Canon cameras,any of the Canon cameras,nan,"If you are not too particular or finicky , you will be happy with any of the Canon cameras .",same
252-111,any of the Canon cameras,any of the Canon cameras,nan,"If you are not too particular or finicky , you will be happy with any of the Canon cameras .",same
252-26,the photo,nan,nan,"When taking a picture just realize the photo will be a bit larger , or simply use the LCD screen .",better
252-26,nan,the photo,nan,"When taking a picture just realize the photo will be a bit larger , or simply use the LCD screen .",worse
252-42,Canons,nan,nan,"Canons are still the best , if you do n't believe this then you have not compared many expert reviews !",better
252-42,nan,Canons,nan,"Canons are still the best , if you do n't believe this then you have not compared many expert reviews !",worse
252-45,the A630,nan,quality photos,"The CCD ( light gathering internal sensor screen ) is 40 persent larger than the other cameras , and all expert reviews confirm the sharp , higher quality photos of the A630 .",better
252-45,nan,the A630,quality photos,"The CCD ( light gathering internal sensor screen ) is 40 persent larger than the other cameras , and all expert reviews confirm the sharp , higher quality photos of the A630 .",worse
252-45,The CCD,the other cameras,nan,"The CCD ( light gathering internal sensor screen ) is 40 persent larger than the other cameras , and all expert reviews confirm the sharp , higher quality photos of the A630 .",better
252-45,the other cameras,The CCD,nan,"The CCD ( light gathering internal sensor screen ) is 40 persent larger than the other cameras , and all expert reviews confirm the sharp , higher quality photos of the A630 .",worse
252-47,the 630,nan,photos,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",better
252-47,nan,the 630,photos,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",worse
252-47,the 630,nan,colour,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",better
252-47,nan,the 630,colour,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",worse
252-47,the 630,nan,colour,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",better
252-47,nan,the 630,colour,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",worse
252-47,the 630,nan,photos,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",better
252-47,nan,the 630,photos,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",worse
252-47,the EOS-350,nan,noise,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",better
252-47,nan,the EOS-350,noise,"Some user comments make the heretical comment that the A630 than the Canon Rebels : well , I can tell you that I borrowed my friend 's Canon EOS 350 ( expensive big SLR ) and comparing a series of indoor and outdoor photos at different ISO and distance , YES , the 630 amazingly does indeed produce better photos that are sharper and overall more crisp with better colour ( except at ISO 800 where the EOS-350 had less noise ) .",worse
252-5,The five cameras,The five cameras,advanced features,The five cameras listed in the topic heading above all have advanced features .,better
252-5,The five cameras,The five cameras,advanced features,The five cameras listed in the topic heading above all have advanced features .,worse
252-76,the 630,nan,CCD,Remember that the 630 is the only one with a larger CCD .,better
252-76,nan,the 630,CCD,Remember that the 630 is the only one with a larger CCD .,worse
252-79,the 630,the 710,nan,"Whereas the 630 is a little larger than the 710 or 570 , it 's only about 10 mm .",better
252-79,the 710,the 630,nan,"Whereas the 630 is a little larger than the 710 or 570 , it 's only about 10 mm .",worse
252-79,the 630,570,nan,"Whereas the 630 is a little larger than the 710 or 570 , it 's only about 10 mm .",better
252-79,570,the 630,nan,"Whereas the 630 is a little larger than the 710 or 570 , it 's only about 10 mm .",worse
252-85,the 710,the 630,picture quality,"Since the 710 's picture quality / sharpness is not as good as the 630 , my answer is no .",worse
252-85,the 630,the 710,picture quality,"Since the 710 's picture quality / sharpness is not as good as the 630 , my answer is no .",better
252-85,the 710,the 630,sharpness,"Since the 710 's picture quality / sharpness is not as good as the 630 , my answer is no .",worse
252-85,the 630,the 710,sharpness,"Since the 710 's picture quality / sharpness is not as good as the 630 , my answer is no .",better
252-86,The 630 's 4x,nan,CCD,"The 630 's 4x with a better CCD is just as good as the 710 's 6x or at least not that much difference , imho .",better
252-86,nan,The 630 's 4x,CCD,"The 630 's 4x with a better CCD is just as good as the 710 's 6x or at least not that much difference , imho .",worse
252-86,The 630 's 4x,the 710 's 6x,nan,"The 630 's 4x with a better CCD is just as good as the 710 's 6x or at least not that much difference , imho .",same
252-86,the 710 's 6x,The 630 's 4x,nan,"The 630 's 4x with a better CCD is just as good as the 710 's 6x or at least not that much difference , imho .",same
252-97,the 630,the other cameras,noise,"The reviews bothered me on this one but again , since the 630 has a larger CCD , there will be less noise than the other cameras .",better
252-97,the other cameras,the 630,noise,"The reviews bothered me on this one but again , since the 630 has a larger CCD , there will be less noise than the other cameras .",worse
252-97,the 630,the other cameras,CCD,"The reviews bothered me on this one but again , since the 630 has a larger CCD , there will be less noise than the other cameras .",better
252-97,the other cameras,the 630,CCD,"The reviews bothered me on this one but again , since the 630 has a larger CCD , there will be less noise than the other cameras .",worse
253-1,This,Powershot A80,quality images,"This is a great camera and I do n't regret my purchase at all , but sometimes I wonder if I got better quality images from my Powershot A80 .",worse
253-1,Powershot A80,This,quality images,"This is a great camera and I do n't regret my purchase at all , but sometimes I wonder if I got better quality images from my Powershot A80 .",better
253-2,It,my old 4MP A80,light to the sensors,It seems to get less light to the sensors than my old 4MP A80 .,worse
253-2,my old 4MP A80,It,light to the sensors,It seems to get less light to the sensors than my old 4MP A80 .,better
254-3,it,DV,nan,it also shoots decent 640x480 video considering it 's a still camera - of course it 's not nearly as good as DV .,worse
254-3,DV,it,nan,it also shoots decent 640x480 video considering it 's a still camera - of course it 's not nearly as good as DV .,better
254-4,it,olympus C-60,rechargeable battery,but it lacks 2 things that i love about 2-yr old olympus C-60 : ( 1 ) a rechargeable battery .,worse
254-4,olympus C-60,it,rechargeable battery,but it lacks 2 things that i love about 2-yr old olympus C-60 : ( 1 ) a rechargeable battery .,better
259-4,the Powershot A630,it,nan,In my mind the Powershot A630 is it 's bigger brother .,better
259-4,it,the Powershot A630,nan,In my mind the Powershot A630 is it 's bigger brother .,worse
26-101,Either way,the Canon elphs,nan,Either way is better than the Canon elphs .,better
26-101,the Canon elphs,Either way,nan,Either way is better than the Canon elphs .,worse
26-29,the Canon,nan,wide-angle range,"However , the Canon does have the advantage of significant wide-angle range ( as wide as 28mm in 35mm camera terms ) .",better
26-29,nan,the Canon,wide-angle range,"However , the Canon does have the advantage of significant wide-angle range ( as wide as 28mm in 35mm camera terms ) .",worse
26-35,it,nan,shutter speeds,"Rather , it boosts the ISO ( or light sensitivity ) so that faster shutter speeds are used making the shake less noticeable ( at the expense of more noise or `` graininess '' ) .",better
26-35,nan,it,shutter speeds,"Rather , it boosts the ISO ( or light sensitivity ) so that faster shutter speeds are used making the shake less noticeable ( at the expense of more noise or `` graininess '' ) .",worse
26-35,it,nan,noise,"Rather , it boosts the ISO ( or light sensitivity ) so that faster shutter speeds are used making the shake less noticeable ( at the expense of more noise or `` graininess '' ) .",better
26-35,nan,it,noise,"Rather , it boosts the ISO ( or light sensitivity ) so that faster shutter speeds are used making the shake less noticeable ( at the expense of more noise or `` graininess '' ) .",worse
